county                  bird   equine farms  area      pop  density   pbr        per
Abbeville                0       0     471     508   26164   51.50   0.0000000   0.0000000
Aiken                   14       6     729    1073  142557  132.86   0.0000982   0.0082305
Allendale                2       0     114     408   11226   27.51   0.0001782   0.0000000
Anderson                 9       1    1271     718  165719  230.81   0.0000543   0.0007868
Bamberg                  1       2     254     393   16674   42.43   0.0000600   0.0078740
Barnwell                 9       1     325     548   23472   42.83   0.0003834   0.0030769
Beaufort                 9       0      99     587  120952  206.05   0.0000744   0.0000000
Berkeley                15       2     292    1098  142704  129.97   0.0001051   0.0068493
Calhoun                  0       2     261     380   15171   39.92   0.0000000   0.0076628
Charleston              19       2     266     919  309997  337.32   0.0000613   0.0075188
Cherokee                 2       0     412     393   52542  133.69   0.0000381   0.0000000
Chester                  1       0     340     581   34077   58.65   0.0000293   0.0000000
Chesterfield             4       1     537     799   42805   53.57   0.0000934   0.0018622
Clarendon                0       0     304     607   32846   54.11   0.0000000   0.0000000
Colleton                15       7     416    1056   38240   36.21   0.0003923   0.0168269
Darlington               5       0     346     561   67393  120.13   0.0000742   0.0000000
Dillon                   4       0     199     405   30727   75.87   0.0001302   0.0000000
Dorchester              21       3     314     575   96440  167.72   0.0002178   0.0095541
Edgefield                0       0     271     502   24593   48.99   0.0000000   0.0000000
Fairfield                1       0     172     687   23481   34.18   0.0000426   0.0000000
Florence                 1       1     615     800  125735  157.17   0.0000080   0.0016260
Georgetown               7       0     206     814   55816   68.57   0.0001254   0.0000000
Greenville              22       5     761     790  379633  480.55   0.0000580   0.0065703
Greenwood                4       0     377     456   66278  145.35   0.0000604   0.0000000
Hampton                  6       1     207     560   21384   38.19   0.0002806   0.0048309
Horry                   52      10     896    1134  196580  173.35   0.0002645   0.0111607
Jasper                   2       1     123     656   20668   31.51   0.0000968   0.0081301
Kershaw                  5       0     324     726   52654   72.53   0.0000950   0.0000000
Lancaster                2       0     500     549   61377  111.80   0.0000326   0.0000000
Laurens                  0       0     686     715   69580   97.31   0.0000000   0.0000000
Lee                      1       1     222     410   20105   49.04   0.0000497   0.0045045
Lexington                4       0     799     699  215998  309.01   0.0000185   0.0000000
Marion                   6       3     200     489   35457   72.51   0.0001692   0.0150000
Marlboro                 2       0     180     480   28831   60.06   0.0000694   0.0000000
McCormick                0       0      92     360    9960   27.67   0.0000000   0.0000000
Newberry                 0       0     499     631   36080   57.18   0.0000000   0.0000000
Oconee                   7       1     611     625   66231  105.97   0.0001057   0.0016367
Orangeburg               2       3     965    1106   91590   82.81   0.0000218   0.0031088
Pickens                  4       0     532     497  110757  222.85   0.0000361   0.0000000
Richland                 6       0     350     756  320642  424.13   0.0000187   0.0000000
Saluda                   0       0     556     452   19185   42.44   0.0000000   0.0000000
Spartanburg              6       1    1067     811  253821  312.97   0.0000236   0.0009372
Sumter                   3       0     396     665  104669  157.40   0.0000287   0.0000000
Union                    2       0     255     514   29870   58.11   0.0000670   0.0000000
Williamsburg             1       0     602     934   37263   39.90   0.0000268   0.0000000
York                     5       0     726     682  164607  241.36   0.0000304   0.0000000
